Family;Genus;Species;Species English
Blenniidae;Plagiotremus;rhinorhynchos;Bluestriped Fangblenny
Blenniidae;Plagiotremus;tapeinosoma;Piano Fangblenny
Blenniidae;Plagiotremus;townsendi;Townsend's Fangblenny
Ephippidae;Platax;batavianus;Batavia Batfish
Ephippidae;Platax;boersii;Golden Spadefish
Ephippidae;Platax;orbicularis;Circular Spadefish
Ephippidae;Platax;pinnatus;Pinnate Spadefish
Ephippidae;Platax;teira;Longfin Spadefish
Belonidae;Platybelone;argalus;Keeltail Needlefish
Haemulidae;Plectorhinchus;albovittatus;Giant Sweetlips
Haemulidae;Plectorhinchus;chaetodonoides;Harlequin Sweetlips
Haemulidae;Plectorhinchus;flavomaculatus;Goldspotted Sweetlips
Haemulidae;Plectorhinchus;gaterinus;Blackspotted Sweetlips
Haemulidae;Plectorhinchus;gibbosus;Blubberlip
Haemulidae;Plectorhinchus;lessonii;Striped Sweetlips
Haemulidae;Plectorhinchus;lineatus;Diagonal-Banded Sweetlips
Haemulidae;Plectorhinchus;picus;Spotted Sweetlips
Haemulidae;Plectorhinchus;polytaenia;Ribbon Sweetlips
Haemulidae;Plectorhinchus;vittatus;Oriental Sweetlips
Anthiadidae;Plectranthias;winniensis;Redblotch Perchlet
Pomacentridae;Plectroglyphidodon;dickii;Blackbar Damsel
Pomacentridae;Plectroglyphidodon;johnstonianus;Johnston Damsel
Pomacentridae;Plectroglyphidodon;leucozonus;Whiteband Damselfish Not Leucozona
Epinephelidae;Plectropomus;areolatus;Square-Tailed Coral Grouper
Epinephelidae;Plectropomus;laevis;Blacksaddle Coral Grouper
Epinephelidae;Plectropomus;leopardus;Leopard Coral Grouper
Epinephelidae;Plectropomus;maculatus;Spotted Coral Grouper
Epinephelidae;Plectropomus;marisrubri;Red Sea Roving Coral Grouper
Epinephelidae;Plectropomus;oligacanthus;Highfin Coral Grouper
Epinephelidae;Plectropomus;pessuliferus;Roving Coral Grouper
Plesiopidae;Plesiops;coeruleolineatus;Crimsontop Longfin
Gobiidae;Pleurosicya;boldinghi;Boldinghs Ghostgoby
Gobiidae;Pleurosicya;elongata;Elongate Ghostgoby
Gobiidae;Pleurosicya;micheli;Stony Coral Ghostgoby
Gobiidae;Pleurosicya;mossambica;Common Ghostgoby
Gobiidae;Pleurosicya;plicata;Folded Ghostgoby
Mugilidae;Plicomugil;labiosus;Thicklip Mullet
Plotosidae;Plotosus;lineatus;Striped Catfish
Pomacanthidae;Pomacanthus;asfur;Arabian Angelfish
Pomacanthidae;Pomacanthus;imperator;Emperor Angelfish
Pomacanthidae;Pomacanthus;maculosus;Yellowbar Angelfish
Pomacanthidae;Pomacanthus;navarchus;Blue-Girdled Angelfish
Pomacanthidae;Pomacanthus;semicirculatus;Semicircle Angelfish
Pomacanthidae;Pomacanthus;sexstriatus;Six-Banded Angelfish
Pomacanthidae;Pomacanthus;xanthometopon;Yellow-Mask Angelfish
Pomacentridae;Pomacentrus;adelus;Obscure Damselfish
Pomacentridae;Pomacentrus;albicaudatus;Whitetail Damselfish
Pomacentridae;Pomacentrus;alexanderae;Alexander's Damsel
Pomacentridae;Pomacentrus;amboinensis;Ambon Damselfish
Pomacentridae;Pomacentrus;aquilus;Dark Damsel
